ID,y_trust,c_age,c_male,c_education,c_income,x_threat
3605,10,40,1,4,2,0
3609,7,60,1,10,3,0
3610,7,51,0,5,2,0
3613,7,20,1,4,1,1
3621,5,52,1,4,3,0
3624,7,49,0,9,1,0
3643,4,58,1,10,3,0
3646,5,15,1,1,0,0
3647,8,37,1,9,3,0
3657,5,50,1,4,1,1
3658,6,44,0,4,0,0
3666,7,41,0,6,0,0
3669,8,42,1,4,3,0
3688,5,36,1,10,3,0
3705,5,35,1,4,1,0
3710,8,32,0,10,0,0
3729,7,25,1,10,1,0
3745,6,45,0,4,1,0
3767,8,37,1,4,2,1
3770,10,41,1,10,3,0
3771,10,41,0,6,1,0
3788,7,52,1,5,3,0
3789,8,39,0,7,2,0
3813,5,27,1,10,2,0
3817,8,52,0,10,3,0
3818,10,41,1,10,2,0
3827,6,72,1,10,0,0
3840,6,44,1,10,3,0
3858,8,54,1,6,3,0
3859,8,53,0,5,0,0
3865,7,37,1,4,3,0
3866,10,64,1,10,3,0
3868,6,55,0,5,1,0
3869,9,31,0,10,2,0
3870,6,28,1,4,0,0
3899,6,42,0,6,3,0
3900,7,66,1,7,0,0
3916,6,45,1,0,3,0
3917,7,44,1,1,1,0
3918,4,20,1,5,0,0
3925,8,42,1,10,3,0
3926,6,42,0,10,1,0
3938,5,31,0,8,1,1
3939,5,29,1,4,3,1
3947,6,50,0,4,2,0
3948,7,48,0,3,1,0
3949,3,44,1,5,1,0
3977,4,45,1,7,3,1
3978,3,42,0,4,0,0
3989,8,28,1,6,1,0
3991,2,18,1,5,1,1
3993,7,45,1,5,1,0
3995,8,18,1,1,0,0
3996,9,16,1,1,0,1
4005,8,55,0,4,3,0
4009,7,44,0,4,1,0
4018,8,34,1,10,2,0
4035,8,38,1,6,2,0
4036,9,37,0,6,1,0
4040,9,51,1,6,3,0
4050,3,68,0,5,0,0
4056,7,47,1,3,3,0
4082,7,40,0,10,2,0
4083,7,38,1,7,3,0
4088,5,18,0,1,0,0
4094,6,54,0,5,1,0
4101,5,30,1,5,1,1
4110,9,39,0,6,0,0
4117,7,51,1,10,3,1
4118,5,49,0,9,0,0
4120,2,17,1,0,0,1
4128,0,56,1,4,3,1
4137,7,50,0,10,3,0
4154,6,50,0,10,0,0
4157,2,19,1,6,1,0
4160,7,50,0,2,1,0
4176,8,38,1,9,3,1
4177,9,38,0,5,1,1
4189,5,36,1,10,3,0
4193,6,29,0,10,1,0
4206,6,55,1,8,3,0
4211,7,55,1,4,3,0
4212,3,49,0,8,1,0
4214,3,18,0,2,0,1
4236,8,52,1,10,3,1
4237,6,47,0,5,1,0
4238,6,24,1,1,0,0
4243,4,28,1,3,1,0
4244,7,51,1,1,2,0
4249,7,38,1,6,3,0
4250,8,47,0,6,2,0
4251,5,44,1,4,2,0
4260,4,33,1,4,3,0
4261,5,29,0,4,1,0
4262,5,42,1,9,2,0
4263,6,41,0,4,1,0
4266,5,61,1,9,2,0
4268,7,52,0,4,0,0
4273,6,44,0,8,0,0
4279,7,15,1,1,0,0
4280,6,60,0,6,1,0
4283,10,56,0,2,1,0
4284,7,27,0,6,1,0
4290,10,49,1,10,3,0
4291,10,45,0,4,2,0
4295,5,56,0,4,2,0
4299,2,55,0,4,1,0
4303,8,36,0,10,1,0
4304,8,33,1,10,3,0
4315,8,51,0,10,3,1
4322,7,53,0,4,0,0
4326,6,39,0,10,2,0
4327,5,37,1,10,3,0
4332,5,51,1,10,3,0
4347,9,35,1,6,1,0
4358,0,37,0,5,2,1
4367,5,31,1,8,3,0
4370,4,60,0,1,0,0
4379,9,51,1,10,3,0
4380,7,51,0,10,1,1
4381,5,21,1,6,0,0
4384,7,60,1,10,3,0
4385,7,58,0,10,1,0
4386,6,30,1,10,3,1
4387,6,28,1,10,1,0
4388,7,23,0,1,0,0
4389,10,41,1,10,3,0
4390,7,36,0,10,2,0
4392,7,40,1,10,3,0
4393,7,36,0,10,1,0
4398,4,39,0,10,3,0
4406,5,46,1,5,3,0
4409,0,17,0,1,0,0
4413,7,23,0,3,0,0
4433,7,20,0,6,0,0
4437,10,50,0,5,1,0
4444,8,65,1,10,3,0
4445,5,60,0,8,0,0
4450,7,50,1,9,3,0
4451,5,48,0,10,2,0
4454,7,51,1,7,3,0
4470,6,62,1,10,3,0
4472,8,33,0,10,1,0
4477,5,59,1,4,3,0
4486,3,39,1,10,3,0
4493,5,44,1,7,3,0
4499,10,49,0,10,2,0
4510,8,60,0,8,0,0
4515,8,62,0,6,0,0
4516,7,52,1,4,3,0
4517,5,40,0,10,1,0
4526,6,31,1,10,2,0
4527,7,48,1,1,2,0
4528,2,44,0,1,1,0
4550,4,72,1,10,0,0
4562,8,42,1,8,3,0
4579,8,64,0,10,3,0
4596,6,58,0,4,3,0
4609,7,47,0,5,0,0
4610,4,46,1,4,2,0
4611,5,17,0,1,0,0
4612,5,15,1,0,0,1
4649,8,55,1,4,3,1
4650,8,51,0,6,1,0
4651,8,26,0,10,2,0
4652,7,25,0,6,1,0
4659,8,38,0,8,0,0
4660,7,38,1,9,3,0
4671,8,46,1,10,1,0
4672,10,43,0,6,1,0
4673,4,17,1,1,0,1
4681,8,52,0,5,3,0
4682,7,19,1,1,0,0
4685,9,48,0,4,0,0
4700,10,29,0,6,1,0
4702,5,32,0,4,0,0
4708,5,39,1,7,3,0
4709,6,35,0,10,1,0
4716,5,67,1,1,0,0
4726,5,41,0,4,0,0
4729,5,55,1,1,3,0
4732,9,42,0,7,1,1
4733,7,18,0,1,0,0
4734,8,15,1,0,0,0
4746,6,39,0,5,0,0
4749,5,50,0,10,2,1
4753,5,32,0,4,0,0
4760,1,39,0,6,1,0
4777,8,45,1,4,2,0
4778,9,44,0,10,1,0
4791,8,59,1,4,0,0
4792,5,61,1,4,2,0
4793,6,45,0,10,2,0
4795,8,45,0,6,1,0
4801,10,46,0,5,1,0
4802,5,45,1,4,1,0
4805,5,18,1,1,0,0
4815,8,41,1,10,3,0
4821,8,61,0,1,0,0
4830,7,59,1,10,3,0
4833,8,53,1,5,3,0
4836,5,50,0,1,0,0
4839,5,37,0,6,2,0
4858,8,59,0,10,2,0
4859,9,59,1,10,3,0
4861,8,26,1,10,1,0
4863,7,42,0,10,1,1
4893,7,47,0,3,1,0
4908,5,63,0,4,0,0
4909,8,54,1,8,3,0
4934,6,37,0,10,2,0
4941,5,49,1,8,2,0
4942,5,39,0,1,1,0
4947,2,23,0,6,0,0
4964,9,62,0,10,3,0
4966,7,43,0,6,1,0
4968,7,33,0,6,1,0
4973,8,36,0,10,2,0
4975,6,51,1,10,3,0
4976,8,40,0,5,0,0
4980,9,54,0,1,2,0
4992,5,63,0,1,1,0
4995,4,63,1,10,1,0
4996,10,42,0,7,2,0
5002,6,27,1,10,1,0
5004,0,52,1,1,2,0
5005,5,52,0,3,1,0
5013,6,34,0,6,2,0
5029,7,51,0,10,1,1
5036,8,44,0,4,2,0
5061,6,41,0,4,0,0
5062,5,36,1,4,3,0
5066,7,36,0,5,1,0
5085,7,46,0,10,3,0
5087,8,63,1,7,2,1
5088,7,60,0,4,3,0
5105,8,33,0,4,1,0
5107,0,47,1,1,3,0
5108,6,43,0,1,1,0
5123,6,43,1,10,3,0
5124,9,40,0,10,1,0
5145,10,43,0,5,0,0
5152,4,55,1,10,3,0
5153,7,52,0,7,1,0
5154,6,28,1,10,2,0
5156,7,62,1,6,0,0
5157,6,60,0,4,0,0
5165,5,45,1,8,3,0
5166,3,51,1,5,0,0
5167,8,53,0,7,1,0
5169,8,56,0,5,1,0
5171,9,52,0,4,1,0
5177,8,59,0,6,1,0
5178,5,37,1,7,3,0
5179,0,32,0,4,0,0
5199,5,51,0,6,3,1
5200,8,25,0,6,1,0
5245,7,30,1,8,3,0
5286,8,57,0,4,1,0
5291,10,60,1,4,1,0
5300,8,57,1,9,3,0
5302,6,20,0,6,0,0
5305,8,52,0,6,1,0
5307,7,22,0,4,1,0
5309,5,31,0,4,2,1
5319,7,41,0,6,1,0
5321,7,17,1,0,0,0
5335,8,34,0,7,2,0
5350,8,44,0,7,0,0
5352,5,45,1,4,3,0
5354,8,58,0,1,0,0
5368,9,54,1,4,3,0
5369,9,50,0,2,0,0
5370,7,45,1,9,3,0
5371,8,38,0,4,0,0
5375,10,57,0,5,0,0
5377,7,30,0,6,1,0
5378,7,43,0,1,0,0
5381,6,19,0,0,0,0
5389,8,61,1,8,3,0
5390,8,57,0,9,1,1
5394,8,35,0,10,3,0
5401,5,44,0,6,1,0
5444,7,44,1,4,0,0
5476,8,46,1,10,3,0
5484,8,63,0,4,0,0
5485,8,63,1,10,1,1
5493,6,38,1,10,3,0
5511,10,19,1,6,0,0
5519,5,56,0,6,3,0
5520,8,43,1,4,3,0
5521,8,39,0,4,0,0
5522,5,17,0,0,0,0
5526,8,34,1,9,3,0
5527,8,32,0,6,1,0
5528,3,38,1,7,3,1
5529,8,37,0,6,1,0
5532,7,47,0,9,2,0
5533,8,44,1,9,3,0
5538,7,37,0,2,0,0
5539,8,36,1,4,3,0
5564,8,62,1,4,3,0
5566,4,41,0,5,1,0
5575,7,41,1,10,2,0
5576,6,45,0,4,2,0
5577,7,19,0,0,0,0
5578,2,17,0,0,0,0
5579,9,15,0,1,0,0
5580,5,52,1,4,2,0
5581,8,43,0,4,0,0
5587,8,55,1,4,3,0
5588,6,47,0,4,1,0
5591,3,43,1,7,2,0
5592,5,35,0,4,0,0
5637,8,43,0,6,1,0
5638,8,37,1,9,3,0
5640,4,53,1,6,3,1
5641,7,41,0,4,0,0
5645,0,48,0,4,1,0
5659,7,46,0,3,0,0
5661,3,16,1,1,0,1
5662,6,51,1,10,2,0
5663,8,48,0,4,1,0
5667,6,37,0,4,0,0
5673,5,33,0,4,0,0
5676,9,35,0,4,1,0
5677,8,33,1,4,1,0
5681,7,45,1,10,3,0
5682,5,39,0,4,3,1
5707,5,49,0,2,1,0
5720,8,54,1,4,2,0
5732,6,31,1,4,2,1
5747,8,58,1,9,2,0
5750,7,26,0,6,2,1
5768,0,58,1,1,2,0
5769,5,43,0,2,0,0
5770,8,19,1,0,0,0
5782,6,41,1,4,2,0
5783,8,40,0,6,1,0
5787,7,45,1,4,2,0
5788,7,44,0,4,1,0
5797,5,59,0,2,1,0
5799,9,55,0,7,1,0
