ID,y_trust,c_age,c_male,c_education,c_income,x_threat
496,NA,NA,NA,NA,NA,NA
497,NA,NA,NA,NA,NA,NA
498,NA,NA,NA,NA,NA,NA
499,NA,NA,NA,NA,NA,NA
500,NA,NA,NA,NA,NA,NA
501,NA,NA,NA,NA,NA,NA
502,NA,NA,NA,NA,NA,NA
503,NA,NA,NA,NA,NA,NA
504,NA,NA,NA,NA,NA,NA
505,NA,NA,NA,NA,NA,NA
506,3,74,1,4,NA,1
507,0,66,0,5,NA,0
508,NA,43,0,6,3,NA
509,5,18,0,1,0,0
510,5,74,1,10,NA,0
511,NA,72,0,5,NA,NA
512,NA,NA,NA,NA,NA,NA
513,NA,NA,NA,NA,NA,NA
514,NA,NA,NA,NA,NA,NA
515,NA,NA,NA,NA,NA,NA
516,NA,NA,NA,NA,NA,NA
517,NA,NA,NA,NA,NA,NA
518,NA,NA,NA,NA,NA,NA
519,NA,NA,NA,NA,NA,NA
520,NA,NA,NA,NA,NA,NA
521,NA,NA,NA,NA,NA,NA
522,5,NA,NA,NA,NA,0
523,NA,NA,NA,NA,NA,NA
524,NA,NA,NA,NA,NA,NA
525,NA,57,1,7,NA,NA
526,NA,53,0,5,3,NA
527,NA,NA,NA,NA,NA,NA
528,NA,NA,NA,NA,NA,NA
529,NA,NA,NA,NA,NA,NA
530,NA,NA,NA,NA,NA,NA
531,5,46,0,1,1,0
532,NA,NA,NA,NA,NA,NA
533,NA,NA,NA,NA,NA,NA
534,4,47,1,4,NA,0
535,5,75,0,2,NA,0
536,5,71,0,4,NA,0
537,6,63,0,5,NA,0
538,8,68,1,4,NA,0
539,0,66,0,1,NA,0
540,NA,NA,NA,NA,NA,NA
541,NA,NA,NA,NA,NA,NA
542,NA,NA,NA,NA,NA,NA
543,NA,NA,NA,NA,NA,NA
544,NA,NA,NA,NA,NA,NA
545,NA,NA,NA,NA,NA,NA
546,5,45,1,10,3,1
547,5,41,0,10,3,1
548,NA,NA,NA,NA,NA,NA
549,NA,11,0,0,NA,NA
550,NA,7,1,0,NA,NA
551,NA,50,0,1,NA,NA
552,7,55,1,1,2,0
553,NA,26,1,4,NA,NA
554,5,21,1,6,NA,0
555,0,64,1,9,2,0
556,8,64,0,2,NA,0
557,NA,NA,NA,NA,NA,NA
558,5,65,1,4,NA,0
559,6,62,0,4,NA,0
560,NA,NA,NA,NA,NA,NA
561,NA,35,1,10,NA,NA
562,4,33,0,10,NA,0
563,NA,NA,NA,NA,NA,NA
564,NA,NA,NA,NA,NA,NA
565,10,NA,NA,NA,NA,0
566,9,NA,NA,NA,NA,0
567,NA,NA,NA,NA,NA,NA
568,NA,NA,NA,NA,NA,NA
569,NA,NA,NA,NA,NA,NA
570,NA,NA,NA,NA,NA,NA
571,NA,NA,NA,NA,NA,NA
572,NA,NA,NA,NA,NA,NA
573,5,NA,NA,NA,NA,0
574,7,NA,NA,NA,NA,1
575,5,NA,NA,NA,NA,1
576,NA,NA,NA,NA,NA,NA
577,NA,NA,NA,NA,NA,NA
578,6,38,0,4,1,0
579,7,35,1,8,3,0
580,NA,7,0,0,NA,NA
581,8,49,0,7,NA,1
582,NA,NA,NA,NA,NA,NA
583,NA,NA,NA,NA,NA,NA
584,NA,NA,NA,NA,NA,NA
585,NA,NA,NA,NA,NA,NA
586,NA,NA,NA,NA,NA,NA
587,NA,NA,NA,NA,NA,NA
588,NA,NA,NA,NA,NA,NA
589,NA,NA,NA,NA,NA,NA
590,7,55,1,10,NA,0
591,8,54,0,5,NA,0
592,8,27,1,10,NA,0
593,NA,NA,NA,NA,NA,NA
594,NA,NA,NA,NA,NA,NA
595,NA,NA,NA,NA,NA,NA
596,NA,NA,NA,NA,NA,NA
597,NA,NA,NA,NA,NA,NA
598,NA,NA,NA,NA,NA,NA
599,NA,NA,NA,NA,NA,NA
600,9,79,0,1,0,0
601,NA,NA,NA,NA,NA,NA
602,NA,79,1,10,NA,NA
603,10,67,0,6,NA,0
604,5,34,1,10,NA,0
605,7,32,1,10,3,0
606,NA,NA,NA,NA,NA,NA
607,5,39,0,2,3,0
608,5,53,1,10,NA,1
609,8,52,0,10,NA,0
610,8,24,1,10,NA,0
611,2,21,0,6,NA,0
612,NA,NA,NA,NA,NA,NA
613,NA,NA,NA,NA,NA,NA
614,NA,NA,NA,NA,NA,NA
615,NA,NA,NA,NA,NA,NA
616,7,47,1,5,1,0
617,NA,NA,NA,NA,NA,NA
618,NA,NA,NA,NA,NA,NA
619,NA,NA,NA,NA,NA,NA
620,NA,NA,NA,NA,NA,NA
621,NA,NA,NA,NA,NA,NA
622,NA,NA,NA,NA,NA,NA
623,NA,NA,NA,NA,NA,NA
624,NA,NA,NA,NA,NA,NA
625,NA,NA,NA,NA,NA,NA
626,NA,NA,NA,NA,NA,NA
627,NA,NA,NA,NA,NA,NA
628,NA,NA,NA,NA,NA,NA
629,NA,67,1,0,NA,NA
630,6,61,0,2,NA,0
631,NA,NA,NA,NA,NA,NA
632,5,86,0,10,NA,0
633,NA,NA,NA,NA,NA,NA
634,NA,NA,NA,NA,NA,NA
635,NA,NA,NA,NA,NA,NA
636,NA,NA,NA,NA,NA,NA
637,NA,NA,NA,NA,NA,NA
638,8,51,0,5,3,1
639,NA,NA,NA,NA,NA,NA
640,10,70,1,6,NA,0
641,8,61,0,6,NA,0
642,NA,NA,NA,NA,NA,NA
643,NA,NA,NA,NA,NA,NA
644,NA,NA,NA,NA,NA,NA
645,NA,NA,NA,NA,NA,NA
646,NA,NA,NA,NA,NA,NA
647,5,70,0,1,NA,0
648,7,80,0,2,NA,0
649,NA,NA,NA,NA,NA,NA
650,NA,NA,NA,NA,NA,NA
651,NA,NA,NA,NA,NA,NA
652,NA,NA,NA,NA,NA,NA
653,NA,NA,NA,NA,NA,NA
654,0,80,1,4,NA,0
655,5,77,0,1,NA,0
656,NA,NA,NA,NA,NA,NA
657,NA,NA,NA,NA,NA,NA
658,NA,NA,NA,NA,NA,NA
659,NA,NA,NA,NA,NA,NA
660,NA,NA,NA,NA,NA,NA
661,NA,NA,NA,NA,NA,NA
662,NA,NA,NA,NA,NA,NA
663,NA,NA,NA,NA,NA,NA
664,NA,NA,NA,NA,NA,NA
665,NA,NA,NA,NA,NA,NA
666,NA,NA,NA,NA,NA,NA
667,NA,NA,NA,NA,NA,NA
668,NA,NA,NA,NA,NA,NA
669,NA,NA,NA,NA,NA,NA
670,NA,NA,NA,NA,NA,NA
671,NA,NA,NA,NA,NA,NA
672,NA,NA,NA,NA,NA,NA
673,8,65,1,9,NA,0
674,8,54,0,2,NA,0
675,7,41,1,10,3,0
676,7,39,0,10,NA,0
677,NA,8,0,0,NA,NA
678,NA,6,0,NA,NA,NA
679,NA,NA,NA,NA,NA,NA
680,NA,NA,NA,NA,NA,NA
681,NA,NA,NA,NA,NA,NA
682,NA,NA,NA,NA,NA,NA
683,5,41,1,4,2,0
684,6,41,0,1,0,0
685,NA,10,0,0,NA,NA
